Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,60.9,,
2003-07-31,2003-07-31,55.8,,
2003-08-31,2003-08-31,57.8,,
2003-09-30,2003-09-30,58.5,,
2003-10-31,2003-10-31,58.1,,
2003-11-30,2003-11-30,56.5,,
2003-12-31,2003-12-31,56.9,,
2004-01-31,2004-01-31,60.4,,
2004-02-29,2004-02-29,61.2,,
2004-03-31,2004-03-31,61.1,,
2004-04-30,2004-04-30,62.5,,
2004-05-31,2004-05-31,69.7,,
2004-06-30,2004-06-30,76.4,,
2004-07-31,2004-07-31,75.0,,
2004-08-31,2004-08-31,76.4,,
2004-09-30,2004-09-30,75.3,,
2004-10-31,2004-10-31,81.3,,
2004-11-30,2004-11-30,77.3,,
2004-12-31,2004-12-31,74.5,,
2005-01-31,2005-01-31,73.9,,
2005-02-28,2005-02-28,75.5,,
2005-03-31,2005-03-31,77.9,,
2005-04-30,2005-04-30,75.9,,
2005-05-31,2005-05-31,70.4,,
2005-06-30,2005-06-30,70.1,,
2005-07-31,2005-07-31,71.3,,
2005-08-31,2005-08-31,66.8,,
2005-09-30,2005-09-30,68.7,,
2005-10-31,2005-10-31,75.9,,
2005-11-30,2005-11-30,70.1,,
2005-12-31,2005-12-31,67.6,,
2006-01-31,2006-01-31,69.5,,
2006-02-28,2006-02-28,70.8,,
2006-03-31,2006-03-31,70.2,,
2006-04-30,2006-04-30,70.2,,
2006-05-31,2006-05-31,77.7,,
2006-06-30,2006-06-30,74.5,,
2006-07-31,2006-07-31,72.9,,
2006-08-31,2006-08-31,78.8,,
2006-09-30,2006-09-30,70.1,,
2006-10-31,2006-10-31,72.9,,
2006-11-30,2006-11-30,76.8,,
2006-12-31,2006-12-31,75.1,,
2007-01-31,2007-01-31,71.3,,
2007-02-28,2007-02-28,69.9,,
2007-03-31,2007-03-31,73.4,,
2007-04-30,2007-04-30,65.5,,
2007-05-31,2007-05-31,69.8,,
2007-06-30,2007-06-30,67.7,,
2007-07-31,2007-07-31,60.7,,
2007-08-31,2007-08-31,66.7,,
2007-09-30,2007-09-30,69.4,,
2007-10-31,2007-10-31,63.3,,
2007-11-30,2007-11-30,68.9,,
2007-12-31,2007-12-31,72.6,,
2008-01-31,2008-01-31,73.1,,
2008-02-29,2008-02-29,83.8,,
2008-03-31,2008-03-31,79.8,,
2008-04-30,2008-04-30,81.0,,
2008-05-31,2008-05-31,79.2,,
2008-06-30,2008-06-30,82.1,,
2008-07-31,2008-07-31,80.9,,
2008-08-31,2008-08-31,80.6,,
2008-09-30,2008-09-30,79.2,,
2008-10-31,2008-10-31,79.1,,
2008-11-30,2008-11-30,77.7,,
2008-12-31,2008-12-31,77.0,,
2009-01-31,2009-01-31,70.3,,
2009-02-28,2009-02-28,64.3,,
2009-03-31,2009-03-31,58.7,,
2009-04-30,2009-04-30,54.0,,
2009-05-31,2009-05-31,47.4,,
2009-06-30,2009-06-30,51.0,,
2009-07-31,2009-07-31,52.7,,
2009-08-31,2009-08-31,51.4,,
2009-09-30,2009-09-30,57.9,,
2009-10-31,2009-10-31,55.6,,
2009-11-30,2009-11-30,58.5,,
2009-12-31,2009-12-31,62.1,,
2010-01-31,2010-01-31,64.5,,
2010-02-28,2010-02-28,61.2,,
2010-03-31,2010-03-31,61.5,,
2010-04-30,2010-04-30,71.5,,
2010-05-31,2010-05-31,70.8,,
2010-06-30,2010-06-30,76.0,,
2010-07-31,2010-07-31,72.4,,
2010-08-31,2010-08-31,71.6,,
2010-09-30,2010-09-30,70.4,,
2010-10-31,2010-10-31,67.0,,
2010-11-30,2010-11-30,61.9,,
2010-12-31,2010-12-31,66.1,,
2011-01-31,2011-01-31,72.3,,
2011-02-28,2011-02-28,74.0,,
2011-03-31,2011-03-31,70.8,,
2011-04-30,2011-04-30,78.4,,
2011-05-31,2011-05-31,71.8,,
2011-06-30,2011-06-30,70.1,,
2011-07-31,2011-07-31,67.4,,
2011-08-31,2011-08-31,66.4,,
2011-09-30,2011-09-30,67.3,,
2011-10-31,2011-10-31,70.2,,
2011-11-30,2011-11-30,63.9,,
2011-12-31,2011-12-31,64.9,,
2012-01-31,2012-01-31,63.8,,
2012-02-29,2012-02-29,57.4,,
2012-03-31,2012-03-31,61.2,,
2012-04-30,2012-04-30,63.0,,
2012-05-31,2012-05-31,66.2,,
2012-06-30,2012-06-30,64.0,,
2012-07-31,2012-07-31,67.5,,
2012-08-31,2012-08-31,67.7,,
2012-09-30,2012-09-30,58.8,,
2012-10-31,2012-10-31,63.0,,
2012-11-30,2012-11-30,62.1,,
2012-12-31,2012-12-31,61.3,,
2013-01-31,2013-01-31,60.2,,
2013-02-28,2013-02-28,62.1,,
2013-03-31,2013-03-31,63.7,,
2013-04-30,2013-04-30,60.1,,
2013-05-31,2013-05-31,56.8,,
2013-06-30,2013-06-30,60.4,,
2013-07-31,2013-07-31,71.0,,
2013-08-31,2013-08-31,76.5,,
2013-09-30,2013-09-30,75.6,,
2013-10-31,2013-10-31,69.0,,
2013-11-30,2013-11-30,68.4,,
2013-12-31,2013-12-31,68.2,,
2014-01-31,2014-01-31,70.6,,
2014-02-28,2014-02-28,71.6,,
2014-03-31,2014-03-31,67.1,,
2014-04-30,2014-04-30,66.0,,
2014-05-31,2014-05-31,62.8,,
2014-06-30,2014-06-30,65.6,,
2014-07-31,2014-07-31,63.8,,
2014-08-31,2014-08-31,62.5,,
2014-09-30,2014-09-30,62.9,,
2014-10-31,2014-10-31,64.6,,
2014-11-30,2014-11-30,67.8,,
2014-12-31,2014-12-31,68.4,,
2015-01-31,2015-01-31,66.8,,
2015-02-28,2015-02-28,70.8,,
2015-03-31,2015-03-31,70.8,,
2015-04-30,2015-04-30,71.4,,
2015-05-31,2015-05-31,69.7,,
2015-06-30,2015-06-30,65.0,,
2015-07-31,2015-07-31,66.5,,
2015-08-31,2015-08-31,68.4,,
2015-09-30,2015-09-30,67.2,,
2015-10-31,2015-10-31,67.3,,
2015-11-30,2015-11-30,66.4,,
